feature_name,region_id,threshold_quantile,threshold_value,quality_improvement_success_rate_delta,quality_improvement_failed_breakout_rate_reduction,retention_rate,resolved_primary_count,threshold_classification,july_validation_improvement,date_concentration_risk,instrument_concentration_risk
volume_ratio_5,volume_ratio_5__LOWER_LE_Q60,Q60,1.4685878171886981,0.047959542656112575,0.047959542656112575,0.6442857142857142,379,NO_DEFENSIBLE_THRESHOLD_REGION,YES,LOW,MEDIUM
volume_ratio_5,volume_ratio_5__LOWER_LE_Q70,Q70,1.654412482143872,0.038801237432327995,0.03880123743232794,0.7314285714285714,431,NO_DEFENSIBLE_THRESHOLD_REGION,YES,LOW,MEDIUM
volume_ratio_5,volume_ratio_5__LOWER_LE_Q80,Q80,1.8708449528973774,0.025378323108384504,0.025378323108384504,0.8214285714285714,489,NO_DEFENSIBLE_THRESHOLD_REGION,YES,LOW,MEDIUM
true_range_pct,true_range_pct__LOWER_LE_Q20,Q20,0.02416756873782204,0.2004166666666667,0.2004166666666667,0.28714285714285714,160,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,HIGH
true_range_pct,true_range_pct__LOWER_LE_Q30,Q30,0.030332351229448568,0.12553459119496857,0.12553459119496857,0.37714285714285717,212,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,HIGH
true_range_pct,true_range_pct__LOWER_LE_Q40,Q40,0.0369198799353498,0.11332065906210398,0.11332065906210395,0.46285714285714286,263,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,HIGH
true_range_pct,true_range_pct__LOWER_LE_Q50,Q50,0.0445569413303438,0.10358024691358025,0.10358024691358025,0.5557142857142857,324,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,MEDIUM
true_range_pct,true_range_pct__LOWER_LE_Q60,Q60,0.05599185750636132,0.07541666666666669,0.07541666666666669,0.6514285714285715,384,ROBUST_THRESHOLD_REGION,YES,LOW,MEDIUM
true_range_pct,true_range_pct__LOWER_LE_Q70,Q70,0.06408819993349192,0.05073059360730592,0.050730593607305974,0.7357142857142858,438,ROBUST_THRESHOLD_REGION,YES,LOW,MEDIUM
true_range_pct,true_range_pct__LOWER_LE_Q80,Q80,0.07529744678114349,0.028095238095238062,0.028095238095238118,0.8257142857142857,490,NO_DEFENSIBLE_THRESHOLD_REGION,YES,LOW,MEDIUM
same_day_volume_ratio_20_percentile,same_day_volume_ratio_20_percentile__LOWER_LE_Q20,Q20,0.4534516765285996,0.082330383480826,0.082330383480826,0.1757142857142857,113,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,HIGH
same_day_volume_ratio_20_percentile,same_day_volume_ratio_20_percentile__LOWER_LE_Q30,Q30,0.5544378698224851,0.07445807770961144,0.07445807770961149,0.2642857142857143,163,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,HIGH
same_day_volume_ratio_20_percentile,same_day_volume_ratio_20_percentile__LOWER_LE_Q40,Q40,0.6768669457632669,0.07961038961038958,0.07961038961038963,0.38142857142857145,231,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,MEDIUM
same_day_volume_ratio_20_percentile,same_day_volume_ratio_20_percentile__LOWER_LE_Q50,Q50,0.7554240631163708,0.09639269406392692,0.09639269406392698,0.48714285714285716,292,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,MEDIUM
same_day_volume_ratio_20_percentile,same_day_volume_ratio_20_percentile__LOWER_LE_Q60,Q60,0.804930966469428,0.07380952380952388,0.07380952380952382,0.5814285714285714,350,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,MEDIUM
same_day_volume_ratio_20_percentile,same_day_volume_ratio_20_percentile__LOWER_LE_Q70,Q70,0.8564102564102565,0.0500973236009733,0.05009732360097324,0.6871428571428572,411,NO_DEFENSIBLE_THRESHOLD_REGION,INCONCLUSIVE,LOW,MEDIUM
same_day_volume_ratio_20_percentile,same_day_volume_ratio_20_percentile__LOWER_LE_Q80,Q80,0.9022895307282207,0.033137254901960844,0.03313725490196079,0.7942857142857143,476,NO_DEFENSIBLE_THRESHOLD_REGION,YES,LOW,MEDIUM
