feature_name,category,expected_direction,region_id,threshold_quantile,threshold_fraction,threshold_value,OBSERVATION_COUNT,RETAINED_A1_COUNT,RETENTION_RATE,RESOLVED_PRIMARY_COUNT,SUCCESS_COUNT,FAILED_BREAKOUT_COUNT,SUCCESS_RATE,FAILED_BREAKOUT_RATE,UNFILTERED_A1_SUCCESS_RATE,UNFILTERED_A1_FAILED_BREAKOUT_RATE,SUCCESS_RATE_DELTA,FAILED_BREAKOUT_RATE_DELTA,LOW_SAMPLE_REGION,TRAIN_DIRECTIONALLY_IMPROVES,VALIDATION_DIRECTIONALLY_IMPROVES,HOLDOUT_DIRECTIONALLY_IMPROVES,TEMPORAL_DIRECTIONALLY_CONSISTENT,JULY_VALIDATION_IMPROVEMENT,THRESHOLD_PLATEAU_PRESENT,THRESHOLD_CLIFF_RISK,DATE_CONCENTRATION_RISK,INSTRUMENT_CONCENTRATION_RISK,TPE_TWO_DIRECTIONALLY_CONSISTENT,THRESHOLD_CLASSIFICATION,VALIDATION_SUCCESS_RATE,VALIDATION_FAILED_BREAKOUT_RATE,VALIDATION_SUCCESS_RATE_DELTA,VALIDATION_FAILED_BREAKOUT_RATE_DELTA,FORWARD_OUTCOMES_USED_FOR_SELECTION
recent_20_high_age_sessions,CONSOLIDATION_STRUCTURE,HIGHER_IN_SUCCESS,recent_20_high_age_sessions__UPPER_GE_Q50,Q50,0.5,5.0,380,380,0.5428571428571428,328,250,78,0.7621951219512195,0.23780487804878048,0.6433333333333333,0.3566666666666667,0.11886178861788621,-0.11886178861788621,False,True,True,True,YES,INCONCLUSIVE,YES,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.8133333333333334,0.18666666666666668,0.19349862258953165,-0.19349862258953168,NO
recent_20_high_age_sessions,CONSOLIDATION_STRUCTURE,HIGHER_IN_SUCCESS,recent_20_high_age_sessions__UPPER_GE_Q60,Q60,0.6,6.0,333,333,0.4757142857142857,287,220,67,0.7665505226480837,0.23344947735191637,0.6433333333333333,0.3566666666666667,0.12321718931475034,-0.12321718931475031,False,True,True,True,YES,INCONCLUSIVE,YES,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.8181818181818182,0.18181818181818182,0.19834710743801653,-0.19834710743801653,NO
recent_20_high_age_sessions,CONSOLIDATION_STRUCTURE,HIGHER_IN_SUCCESS,recent_20_high_age_sessions__UPPER_GE_Q70,Q70,0.7,8.0,261,261,0.37285714285714283,221,172,49,0.7782805429864253,0.22171945701357465,0.6433333333333333,0.3566666666666667,0.13494720965309204,-0.13494720965309204,False,True,True,True,YES,INCONCLUSIVE,YES,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.8727272727272727,0.12727272727272726,0.252892561983471,-0.2528925619834711,NO
recent_20_high_age_sessions,CONSOLIDATION_STRUCTURE,HIGHER_IN_SUCCESS,recent_20_high_age_sessions__UPPER_GE_Q80,Q80,0.8,11.0,180,180,0.2571428571428571,151,117,34,0.7748344370860927,0.2251655629139073,0.6433333333333333,0.3566666666666667,0.13150110375275936,-0.1315011037527594,False,True,True,True,YES,INCONCLUSIVE,PARTIAL,LOW,LOW,MEDIUM,NO,NO_DEFENSIBLE_THRESHOLD_REGION,0.8780487804878049,0.12195121951219512,0.2582140697440032,-0.25821406974400324,NO
return_5d,MOMENTUM,LOWER_IN_SUCCESS,return_5d__LOWER_LE_Q20,Q20,0.2,0.019902698894906,188,188,0.26857142857142857,156,118,38,0.7564102564102564,0.24358974358974358,0.6433333333333333,0.3566666666666667,0.11307692307692307,-0.1130769230769231,False,True,True,True,YES,INCONCLUSIVE,PARTIAL,LOW,LOW,HIGH,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.8235294117647058,0.17647058823529413,0.20369470102090415,-0.20369470102090423,NO
return_5d,MOMENTUM,LOWER_IN_SUCCESS,return_5d__LOWER_LE_Q30,Q30,0.3,0.03054021071472154,255,255,0.36428571428571427,215,159,56,0.7395348837209302,0.26046511627906976,0.6433333333333333,0.3566666666666667,0.09620155038759692,-0.09620155038759692,False,True,True,True,YES,INCONCLUSIVE,YES,LOW,LOW,HIGH,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.7936507936507936,0.20634920634920634,0.1738160829069919,-0.17381608290699202,NO
return_5d,MOMENTUM,LOWER_IN_SUCCESS,return_5d__LOWER_LE_Q40,Q40,0.4,0.04425202184866833,319,319,0.45571428571428574,267,191,76,0.7153558052434457,0.2846441947565543,0.6433333333333333,0.3566666666666667,0.07202247191011235,-0.0720224719101124,False,True,True,True,YES,INCONCLUSIVE,YES,LOW,LOW,HIGH,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.7681159420289855,0.2318840579710145,0.14828123128518378,-0.14828123128518386,NO
return_5d,MOMENTUM,LOWER_IN_SUCCESS,return_5d__LOWER_LE_Q50,Q50,0.5,0.05866786035680821,377,377,0.5385714285714286,321,222,99,0.6915887850467289,0.308411214953271,0.6433333333333333,0.3566666666666667,0.048255451713395625,-0.04825545171339568,False,True,True,True,YES,INCONCLUSIVE,YES,LOW,LOW,MEDIUM,NO,NO_DEFENSIBLE_THRESHOLD_REGION,0.7662337662337663,0.23376623376623376,0.14639905548996457,-0.1463990554899646,NO
return_5d,MOMENTUM,LOWER_IN_SUCCESS,return_5d__LOWER_LE_Q60,Q60,0.6,0.07389330024813896,433,433,0.6185714285714285,373,259,114,0.6943699731903485,0.30563002680965146,0.6433333333333333,0.3566666666666667,0.05103663985701523,-0.05103663985701523,False,True,True,True,YES,YES,YES,LOW,LOW,MEDIUM,YES,ROBUST_THRESHOLD_REGION,0.7590361445783133,0.24096385542168675,0.13920143383451156,-0.1392014338345116,NO
return_5d,MOMENTUM,LOWER_IN_SUCCESS,return_5d__LOWER_LE_Q70,Q70,0.7,0.09335578341972832,496,496,0.7085714285714285,427,291,136,0.6814988290398126,0.3185011709601874,0.6433333333333333,0.3566666666666667,0.03816549570647931,-0.03816549570647931,False,True,True,True,YES,YES,YES,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.7222222222222222,0.2777777777777778,0.10238751147842051,-0.10238751147842057,NO
return_5d,MOMENTUM,LOWER_IN_SUCCESS,return_5d__LOWER_LE_Q80,Q80,0.8,0.11606097846441948,558,558,0.7971428571428572,482,325,157,0.6742738589211619,0.3257261410788382,0.6433333333333333,0.3566666666666667,0.03094052558782856,-0.030940525587828505,False,True,True,True,YES,YES,PARTIAL,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.7070707070707071,0.29292929292929293,0.08723599632690537,-0.08723599632690543,NO
close_ma20_distance,MA_STRUCTURE,LOWER_IN_SUCCESS,close_ma20_distance__LOWER_LE_Q20,Q20,0.2,0.03643385214259722,205,205,0.29285714285714287,168,131,37,0.7797619047619048,0.22023809523809523,0.6433333333333333,0.3566666666666667,0.13642857142857145,-0.13642857142857145,False,True,True,True,YES,INCONCLUSIVE,PARTIAL,LOW,LOW,HIGH,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.864406779661017,0.13559322033898305,0.24457206891721528,-0.2445720689172153,NO
close_ma20_distance,MA_STRUCTURE,LOWER_IN_SUCCESS,close_ma20_distance__LOWER_LE_Q30,Q30,0.3,0.05316369600340743,271,271,0.3871428571428571,224,166,58,0.7410714285714286,0.25892857142857145,0.6433333333333333,0.3566666666666667,0.09773809523809529,-0.09773809523809524,False,True,True,True,YES,INCONCLUSIVE,YES,LOW,LOW,HIGH,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.8260869565217391,0.17391304347826086,0.20625224577793744,-0.2062522457779375,NO
close_ma20_distance,MA_STRUCTURE,LOWER_IN_SUCCESS,close_ma20_distance__LOWER_LE_Q40,Q40,0.4,0.06239435455359357,327,327,0.46714285714285714,275,202,73,0.7345454545454545,0.26545454545454544,0.6433333333333333,0.3566666666666667,0.09121212121212119,-0.09121212121212124,False,True,True,True,YES,INCONCLUSIVE,YES,LOW,LOW,HIGH,NO,NO_DEFENSIBLE_THRESHOLD_REGION,0.8169014084507042,0.18309859154929578,0.19706669770690255,-0.19706669770690258,NO
close_ma20_distance,MA_STRUCTURE,LOWER_IN_SUCCESS,close_ma20_distance__LOWER_LE_Q50,Q50,0.5,0.0746091777994212,384,384,0.5485714285714286,328,231,97,0.7042682926829268,0.29573170731707316,0.6433333333333333,0.3566666666666667,0.060934959349593476,-0.06093495934959353,False,True,True,True,YES,INCONCLUSIVE,YES,LOW,LOW,MEDIUM,NO,NO_DEFENSIBLE_THRESHOLD_REGION,0.759493670886076,0.24050632911392406,0.1396589601422743,-0.1396589601422743,NO
close_ma20_distance,MA_STRUCTURE,LOWER_IN_SUCCESS,close_ma20_distance__LOWER_LE_Q60,Q60,0.6,0.08984670960434056,446,446,0.6371428571428571,381,258,123,0.6771653543307087,0.3228346456692913,0.6433333333333333,0.3566666666666667,0.03383202099737537,-0.03383202099737537,False,True,True,True,YES,YES,YES,LOW,LOW,MEDIUM,NO,NO_DEFENSIBLE_THRESHOLD_REGION,0.7126436781609196,0.28735632183908044,0.09280896741711786,-0.09280896741711792,NO
close_ma20_distance,MA_STRUCTURE,LOWER_IN_SUCCESS,close_ma20_distance__LOWER_LE_Q70,Q70,0.7,0.10850238570106463,510,510,0.7285714285714285,436,289,147,0.6628440366972477,0.33715596330275227,0.6433333333333333,0.3566666666666667,0.01951070336391436,-0.019510703363914417,False,True,True,True,YES,PARTIAL,YES,LOW,LOW,MEDIUM,NO,NO_DEFENSIBLE_THRESHOLD_REGION,0.6666666666666666,0.3333333333333333,0.04683195592286493,-0.04683195592286504,NO
close_ma20_distance,MA_STRUCTURE,LOWER_IN_SUCCESS,close_ma20_distance__LOWER_LE_Q80,Q80,0.8,0.12842692759885702,563,563,0.8042857142857143,485,326,159,0.6721649484536083,0.32783505154639175,0.6433333333333333,0.3566666666666667,0.02883161512027499,-0.028831615120274934,False,True,True,True,YES,YES,PARTIAL,LOW,LOW,MEDIUM,NO,NO_DEFENSIBLE_THRESHOLD_REGION,0.68,0.32,0.06016528925619835,-0.06016528925619835,NO
volume_ratio_5,VOLUME_CONFIRMATION,LOWER_IN_SUCCESS,volume_ratio_5__LOWER_LE_Q20,Q20,0.2,0.9185207743683912,165,165,0.2357142857142857,133,100,33,0.7518796992481203,0.24812030075187969,0.6433333333333333,0.3566666666666667,0.10854636591478695,-0.108546365914787,False,True,True,True,YES,INCONCLUSIVE,PARTIAL,LOW,LOW,HIGH,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.7931034482758621,0.20689655172413793,0.1732687375320604,-0.17326873753206043,NO
volume_ratio_5,VOLUME_CONFIRMATION,LOWER_IN_SUCCESS,volume_ratio_5__LOWER_LE_Q30,Q30,0.3,1.062703760585552,247,247,0.35285714285714287,203,155,48,0.7635467980295566,0.23645320197044334,0.6433333333333333,0.3566666666666667,0.1202134646962233,-0.12021346469622335,False,True,True,True,YES,INCONCLUSIVE,YES,LOW,LOW,HIGH,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.7551020408163265,0.24489795918367346,0.13526733007252478,-0.1352673300725249,NO
volume_ratio_5,VOLUME_CONFIRMATION,LOWER_IN_SUCCESS,volume_ratio_5__LOWER_LE_Q40,Q40,0.4,1.1568821258296675,308,308,0.44,255,189,66,0.7411764705882353,0.25882352941176473,0.6433333333333333,0.3566666666666667,0.09784313725490201,-0.09784313725490196,False,True,True,True,YES,INCONCLUSIVE,YES,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.7857142857142857,0.21428571428571427,0.165879574970484,-0.16587957497048408,NO
volume_ratio_5,VOLUME_CONFIRMATION,LOWER_IN_SUCCESS,volume_ratio_5__LOWER_LE_Q50,Q50,0.5,1.2994995787128378,377,377,0.5385714285714286,314,221,93,0.7038216560509554,0.2961783439490446,0.6433333333333333,0.3566666666666667,0.060488322717622056,-0.06048832271762211,False,True,True,True,YES,INCONCLUSIVE,YES,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.7611940298507462,0.23880597014925373,0.14135931910694455,-0.14135931910694463,NO
volume_ratio_5,VOLUME_CONFIRMATION,LOWER_IN_SUCCESS,volume_ratio_5__LOWER_LE_Q60,Q60,0.6,1.4685878171886981,451,451,0.6442857142857142,379,262,117,0.6912928759894459,0.3087071240105541,0.6433333333333333,0.3566666666666667,0.047959542656112575,-0.047959542656112575,False,True,True,True,YES,YES,YES,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.7411764705882353,0.25882352941176473,0.12134175984443363,-0.12134175984443363,NO
volume_ratio_5,VOLUME_CONFIRMATION,LOWER_IN_SUCCESS,volume_ratio_5__LOWER_LE_Q70,Q70,0.7,1.654412482143872,512,512,0.7314285714285714,431,294,137,0.6821345707656613,0.31786542923433875,0.6433333333333333,0.3566666666666667,0.038801237432327995,-0.03880123743232794,False,True,True,True,YES,YES,YES,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.7472527472527473,0.25274725274725274,0.12741803650894556,-0.12741803650894562,NO
volume_ratio_5,VOLUME_CONFIRMATION,LOWER_IN_SUCCESS,volume_ratio_5__LOWER_LE_Q80,Q80,0.8,1.8708449528973774,575,575,0.8214285714285714,489,327,162,0.6687116564417178,0.3312883435582822,0.6433333333333333,0.3566666666666667,0.025378323108384504,-0.025378323108384504,False,True,True,True,YES,YES,PARTIAL,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.6862745098039216,0.3137254901960784,0.06643979906011988,-0.06643979906011993,NO
true_range_pct,VOLATILITY,LOWER_IN_SUCCESS,true_range_pct__LOWER_LE_Q20,Q20,0.2,0.02416756873782204,201,201,0.28714285714285714,160,135,25,0.84375,0.15625,0.6433333333333333,0.3566666666666667,0.2004166666666667,-0.2004166666666667,False,True,True,True,YES,INCONCLUSIVE,NO,HIGH,LOW,HIGH,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.8301886792452831,0.16981132075471697,0.21035396850148136,-0.2103539685014814,NO
true_range_pct,VOLATILITY,LOWER_IN_SUCCESS,true_range_pct__LOWER_LE_Q30,Q30,0.3,0.030332351229448568,264,264,0.37714285714285717,212,163,49,0.7688679245283019,0.23113207547169812,0.6433333333333333,0.3566666666666667,0.12553459119496857,-0.12553459119496857,False,True,True,True,YES,INCONCLUSIVE,PARTIAL,LOW,LOW,HIGH,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.7796610169491526,0.22033898305084745,0.15982630620535088,-0.1598263062053509,NO
true_range_pct,VOLATILITY,LOWER_IN_SUCCESS,true_range_pct__LOWER_LE_Q40,Q40,0.4,0.0369198799353498,324,324,0.46285714285714286,263,199,64,0.7566539923954373,0.24334600760456274,0.6433333333333333,0.3566666666666667,0.11332065906210398,-0.11332065906210395,False,True,True,True,YES,INCONCLUSIVE,YES,LOW,LOW,HIGH,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.7727272727272727,0.22727272727272727,0.152892561983471,-0.1528925619834711,NO
true_range_pct,VOLATILITY,LOWER_IN_SUCCESS,true_range_pct__LOWER_LE_Q50,Q50,0.5,0.0445569413303438,389,389,0.5557142857142857,324,242,82,0.7469135802469136,0.25308641975308643,0.6433333333333333,0.3566666666666667,0.10358024691358025,-0.10358024691358025,False,True,True,True,YES,INCONCLUSIVE,YES,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.7848101265822784,0.21518987341772153,0.16497541583847675,-0.16497541583847683,NO
true_range_pct,VOLATILITY,LOWER_IN_SUCCESS,true_range_pct__LOWER_LE_Q60,Q60,0.6,0.05599185750636132,456,456,0.6514285714285715,384,276,108,0.71875,0.28125,0.6433333333333333,0.3566666666666667,0.07541666666666669,-0.07541666666666669,False,True,True,True,YES,YES,YES,LOW,LOW,MEDIUM,YES,ROBUST_THRESHOLD_REGION,0.7252747252747253,0.27472527472527475,0.10544001453092355,-0.10544001453092361,NO
true_range_pct,VOLATILITY,LOWER_IN_SUCCESS,true_range_pct__LOWER_LE_Q70,Q70,0.7,0.06408819993349192,515,515,0.7357142857142858,438,304,134,0.6940639269406392,0.3059360730593607,0.6433333333333333,0.3566666666666667,0.05073059360730592,-0.050730593607305974,False,True,True,True,YES,YES,YES,LOW,LOW,MEDIUM,YES,ROBUST_THRESHOLD_REGION,0.7010309278350515,0.29896907216494845,0.0811962170912498,-0.08119621709124991,NO
true_range_pct,VOLATILITY,LOWER_IN_SUCCESS,true_range_pct__LOWER_LE_Q80,Q80,0.8,0.07529744678114349,578,578,0.8257142857142857,490,329,161,0.6714285714285714,0.32857142857142857,0.6433333333333333,0.3566666666666667,0.028095238095238062,-0.028095238095238118,False,True,True,True,YES,YES,PARTIAL,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.6699029126213593,0.3300970873786408,0.05006820187755756,-0.05006820187755756,NO
same_day_volume_ratio_20_percentile,RELATIVE_CONTEXT,LOWER_IN_SUCCESS,same_day_volume_ratio_20_percentile__LOWER_LE_Q20,Q20,0.2,0.4534516765285996,123,123,0.1757142857142857,113,82,31,0.7256637168141593,0.2743362831858407,0.6433333333333333,0.3566666666666667,0.082330383480826,-0.082330383480826,False,True,True,True,YES,INCONCLUSIVE,PARTIAL,LOW,LOW,HIGH,NO,NO_DEFENSIBLE_THRESHOLD_REGION,0.8888888888888888,0.1111111111111111,0.26905417814508714,-0.26905417814508725,NO
same_day_volume_ratio_20_percentile,RELATIVE_CONTEXT,LOWER_IN_SUCCESS,same_day_volume_ratio_20_percentile__LOWER_LE_Q30,Q30,0.3,0.5544378698224851,185,185,0.2642857142857143,163,117,46,0.7177914110429447,0.2822085889570552,0.6433333333333333,0.3566666666666667,0.07445807770961144,-0.07445807770961149,False,True,True,True,YES,INCONCLUSIVE,YES,LOW,LOW,HIGH,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.8125,0.1875,0.1926652892561983,-0.19266528925619836,NO
same_day_volume_ratio_20_percentile,RELATIVE_CONTEXT,LOWER_IN_SUCCESS,same_day_volume_ratio_20_percentile__LOWER_LE_Q40,Q40,0.4,0.6768669457632669,267,267,0.38142857142857145,231,167,64,0.7229437229437229,0.27705627705627706,0.6433333333333333,0.3566666666666667,0.07961038961038958,-0.07961038961038963,False,True,True,True,YES,INCONCLUSIVE,YES,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.8,0.2,0.18016528925619835,-0.18016528925619835,NO
same_day_volume_ratio_20_percentile,RELATIVE_CONTEXT,LOWER_IN_SUCCESS,same_day_volume_ratio_20_percentile__LOWER_LE_Q50,Q50,0.5,0.7554240631163708,341,341,0.48714285714285716,292,216,76,0.7397260273972602,0.2602739726027397,0.6433333333333333,0.3566666666666667,0.09639269406392692,-0.09639269406392698,False,True,True,True,YES,INCONCLUSIVE,YES,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.84,0.16,0.22016528925619827,-0.22016528925619835,NO
same_day_volume_ratio_20_percentile,RELATIVE_CONTEXT,LOWER_IN_SUCCESS,same_day_volume_ratio_20_percentile__LOWER_LE_Q60,Q60,0.6,0.804930966469428,407,407,0.5814285714285714,350,251,99,0.7171428571428572,0.28285714285714286,0.6433333333333333,0.3566666666666667,0.07380952380952388,-0.07380952380952382,False,True,True,True,YES,INCONCLUSIVE,YES,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.7868852459016393,0.21311475409836064,0.16705053515783763,-0.16705053515783772,NO
same_day_volume_ratio_20_percentile,RELATIVE_CONTEXT,LOWER_IN_SUCCESS,same_day_volume_ratio_20_percentile__LOWER_LE_Q70,Q70,0.7,0.8564102564102565,481,481,0.6871428571428572,411,285,126,0.6934306569343066,0.30656934306569344,0.6433333333333333,0.3566666666666667,0.0500973236009733,-0.05009732360097324,False,True,True,True,YES,INCONCLUSIVE,YES,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.7466666666666667,0.25333333333333335,0.126831955922865,-0.126831955922865,NO
same_day_volume_ratio_20_percentile,RELATIVE_CONTEXT,LOWER_IN_SUCCESS,same_day_volume_ratio_20_percentile__LOWER_LE_Q80,Q80,0.8,0.9022895307282207,556,556,0.7942857142857143,476,322,154,0.6764705882352942,0.3235294117647059,0.6433333333333333,0.3566666666666667,0.033137254901960844,-0.03313725490196079,False,True,True,True,YES,YES,PARTIAL,LOW,LOW,MEDIUM,YES,NO_DEFENSIBLE_THRESHOLD_REGION,0.7,0.3,0.08016528925619826,-0.08016528925619837,NO
