stock_code	stock_name	market	listing_status	expansion_status	security_type_status	source	source_date
2611	志信	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2613	中櫃	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2615	萬海	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2617	台航	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2636	台驊控股	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2641	正德	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2646	星宇航空	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
2851	中再保	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
3036	文曄	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
3088	艾訊	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
3227	原相	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
3230	錦明	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
3312	弘憶股	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
3388	崇越電	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
3406	玉晶光	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
3455	由田	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
3490	單井	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
3508	位速	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
3533	嘉澤	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
3587	閎康	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
3689	湧德	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
3702	大聯大	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
3704	合勤控	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
4114	健喬	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
4123	晟德	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
4416	三圓	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
4533	協易機	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
4561	健椿	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
4566	時碩工業	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
4739	康普	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
4906	正文	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
4946	辣椒	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
4960	誠美材	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
4968	立積	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
5291	邑昇	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
5309	系統電	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
5321	美而快	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
5468	凱鈺	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
5474	聰泰	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
5515	建國	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
5607	遠雄港	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
5608	四維航	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
6016	康和證	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
6108	競國	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
6125	廣運	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
6190	萬泰科	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
6199	天品	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
6217	中探針	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
6218	豪勉	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
6278	台表科	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
6284	佳邦	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
6290	良維	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
6532	瑞耘	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
6584	南俊國際	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
7792	安葆	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
8086	宏捷科	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
8103	瀚荃	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
8109	博大	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
8110	華東	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
8121	越峰	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
8131	福懋科	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
8234	新漢	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
8932	智通*	TWO	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
9904	寶成	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
9921	巨大	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
9945	潤泰新	TPE	active	OWNER_APPROVED_EXPANSION_CANDIDATE	PENDING_CANONICAL_VALIDATION	OWNER_EXPANSION_20260819	2026-08-19
