feature_name,category,raw_direction,raw_standardized_effect,date_centered_direction,date_centered_standardized_effect,FEATURE_STOCK_LEVEL_SIGNAL,FEATURE_DATE_REGIME_CONFOUNDED,date_centering_definition,task_id,source_canonical_head,source_baseline_head,frozen_spec_hash,dataset_authority
reference_gap_pct,BREAKOUT_PROXIMITY,HIGHER_IN_SUCCESS,0.16350584253341685,HIGHER_IN_SUCCESS,0.14542356114556976,INCONCLUSIVE,PARTIAL,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
close_ma20_distance,MA_STRUCTURE,LOWER_IN_SUCCESS,-0.369109699342304,LOWER_IN_SUCCESS,-0.33922908316213,YES,NO,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
close_ma60_distance,MA_STRUCTURE,LOWER_IN_SUCCESS,-0.25234945071605097,LOWER_IN_SUCCESS,-0.2462424975471958,YES,NO,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
ma20_ma60_spread,MA_STRUCTURE,LOWER_IN_SUCCESS,-0.16406647590435372,LOWER_IN_SUCCESS,-0.1588168066416723,INCONCLUSIVE,PARTIAL,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
ma20_slope_5d,MA_STRUCTURE,LOWER_IN_SUCCESS,-0.0664767702211428,LOWER_IN_SUCCESS,-0.13924688423416837,INCONCLUSIVE,PARTIAL,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
ma60_slope_5d,MA_STRUCTURE,LOWER_IN_SUCCESS,-0.14285987604044123,LOWER_IN_SUCCESS,-0.10774983606635574,INCONCLUSIVE,PARTIAL,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
ma60_slope_20d,MA_STRUCTURE,LOWER_IN_SUCCESS,-0.053598503097258006,LOWER_IN_SUCCESS,-0.023491295979092244,NO,YES,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
volume_ratio_5,VOLUME_CONFIRMATION,LOWER_IN_SUCCESS,-0.330467405611416,LOWER_IN_SUCCESS,-0.32986966977253296,YES,NO,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
volume_ratio_20,VOLUME_CONFIRMATION,LOWER_IN_SUCCESS,-0.32569752250034156,LOWER_IN_SUCCESS,-0.307837163104263,YES,NO,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
volume_ma5_ma20_spread,VOLUME_CONFIRMATION,LOWER_IN_SUCCESS,-0.21694310038524167,LOWER_IN_SUCCESS,-0.2344619921336814,YES,NO,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
volume_expansion_5_vs_prior20,VOLUME_CONFIRMATION,LOWER_IN_SUCCESS,-0.16049929328073242,LOWER_IN_SUCCESS,-0.18474100813561672,INCONCLUSIVE,PARTIAL,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
true_range_pct,VOLATILITY,LOWER_IN_SUCCESS,-0.5322531897909484,LOWER_IN_SUCCESS,-0.4951260740396477,YES,NO,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
atr14_pct,VOLATILITY,LOWER_IN_SUCCESS,-0.43967638164733197,LOWER_IN_SUCCESS,-0.4084256718684331,YES,NO,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
realized_volatility_20,VOLATILITY,LOWER_IN_SUCCESS,-0.4460546997935751,LOWER_IN_SUCCESS,-0.3665828151281744,YES,NO,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
range_compression_5_vs20,VOLATILITY,LOWER_IN_SUCCESS,-0.2945201695310884,LOWER_IN_SUCCESS,-0.28439922326274836,YES,NO,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
candle_body_range_fraction,CANDLE_REJECTION,HIGHER_IN_SUCCESS,0.0536605698211628,HIGHER_IN_SUCCESS,0.02145221921735707,NO,YES,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
upper_wick_range_fraction,CANDLE_REJECTION,LOWER_IN_SUCCESS,-0.2559030149834747,LOWER_IN_SUCCESS,-0.1580003860490608,INCONCLUSIVE,PARTIAL,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
lower_wick_range_fraction,CANDLE_REJECTION,HIGHER_IN_SUCCESS,0.18651691920726887,HIGHER_IN_SUCCESS,0.13168807734617574,INCONCLUSIVE,PARTIAL,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
close_location_value,CANDLE_REJECTION,HIGHER_IN_SUCCESS,0.28679486881860305,HIGHER_IN_SUCCESS,0.18453028313205214,INCONCLUSIVE,PARTIAL,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
gap_pct,CANDLE_REJECTION,LOWER_IN_SUCCESS,-0.16771394168187528,LOWER_IN_SUCCESS,-0.16150941269419833,INCONCLUSIVE,PARTIAL,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
rsi14,TECHNICAL_INDICATORS,LOWER_IN_SUCCESS,-0.21061437865689894,LOWER_IN_SUCCESS,-0.22988388913786278,YES,NO,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
macd_line_12_26,TECHNICAL_INDICATORS,LOWER_IN_SUCCESS,-0.1738001724449565,LOWER_IN_SUCCESS,-0.1732582246073918,INCONCLUSIVE,PARTIAL,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
macd_histogram_12_26_9,TECHNICAL_INDICATORS,LOWER_IN_SUCCESS,-0.16079175098226803,LOWER_IN_SUCCESS,-0.15770622542829985,INCONCLUSIVE,PARTIAL,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
same_day_universe_breadth_above_ma60,MARKET_REGIME,LOWER_IN_SUCCESS,-0.09352338564752606,NO_CLEAR_SEPARATION,,INCONCLUSIVE,INCONCLUSIVE,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
same_day_universe_median_return_1d,MARKET_REGIME,HIGHER_IN_SUCCESS,0.00952712152257021,NO_CLEAR_SEPARATION,,INCONCLUSIVE,INCONCLUSIVE,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
same_day_universe_median_return_5d,MARKET_REGIME,LOWER_IN_SUCCESS,-0.23984905147183447,NO_CLEAR_SEPARATION,,INCONCLUSIVE,INCONCLUSIVE,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
same_day_signal_density,MARKET_REGIME,LOWER_IN_SUCCESS,-0.03472917881751011,NO_CLEAR_SEPARATION,,INCONCLUSIVE,INCONCLUSIVE,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
trailing_20d_breadth_above_ma60,MARKET_REGIME,LOWER_IN_SUCCESS,-0.021771121525302632,NO_CLEAR_SEPARATION,,INCONCLUSIVE,INCONCLUSIVE,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
same_day_return_5d_percentile,RELATIVE_CONTEXT,LOWER_IN_SUCCESS,-0.1392956137340865,LOWER_IN_SUCCESS,-0.28666010314937207,YES,NO,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
same_day_volume_ratio_20_percentile,RELATIVE_CONTEXT,LOWER_IN_SUCCESS,-0.3398040338924812,LOWER_IN_SUCCESS,-0.3316973092696288,YES,NO,value minus same-day median across all A1 feature rows; no labels used,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
