analysis_window,metric,statistic,threshold,value,count,denominator,percentage,notes
H10,MFE,MEAN,,0.12841294755070257,,5146,,Linear-interpolated quantile; mean is arithmetic mean
H10,MFE,MEDIAN,,0.08172141574378922,,5146,,Linear-interpolated quantile; mean is arithmetic mean
H10,MFE,P10,,0.010230186463245139,,5146,,Linear-interpolated quantile; mean is arithmetic mean
H10,MFE,P25,,0.03167576630143487,,5146,,Linear-interpolated quantile; mean is arithmetic mean
H10,MFE,P50,,0.08172141574378922,,5146,,Linear-interpolated quantile; mean is arithmetic mean
H10,MFE,P75,,0.18061723402690993,,5146,,Linear-interpolated quantile; mean is arithmetic mean
H10,MFE,P90,,0.31496349185836137,,5146,,Linear-interpolated quantile; mean is arithmetic mean
H10,MFE,THRESHOLD_COUNT,+3%,,3918,5146,0.7613680528565876,Descriptive path excursion threshold; not a trading rule
H10,MFE,THRESHOLD_COUNT,+5%,,3303,5146,0.6418577535950253,Descriptive path excursion threshold; not a trading rule
H10,MFE,THRESHOLD_COUNT,+10%,,2177,5146,0.4230470268169452,Descriptive path excursion threshold; not a trading rule
H10,MFE,THRESHOLD_COUNT,+15%,,1554,5146,0.30198212203653324,Descriptive path excursion threshold; not a trading rule
H10,MFE,THRESHOLD_COUNT,+20%,,1101,5146,0.2139525845316751,Descriptive path excursion threshold; not a trading rule
H10,MAE,COUNT,,5146,5146,5146,1.0,COMPLETE_RAW_PATH only; UNKNOWN_RAW_ONLY source series; no adjustment interpretation
H10,MAE,MEAN,,-0.06399610033476413,,5146,,Linear-interpolated quantile; mean is arithmetic mean
H10,MAE,MEDIAN,,-0.05286106002499652,,5146,,Linear-interpolated quantile; mean is arithmetic mean
H10,MAE,P10,,-0.14332648761385874,,5146,,Linear-interpolated quantile; mean is arithmetic mean
H10,MAE,P25,,-0.09686265259185001,,5146,,Linear-interpolated quantile; mean is arithmetic mean
H10,MAE,P50,,-0.05286106002499652,,5146,,Linear-interpolated quantile; mean is arithmetic mean
H10,MAE,P75,,-0.02238805970149252,,5146,,Linear-interpolated quantile; mean is arithmetic mean
H10,MAE,P90,,0.0,,5146,,Linear-interpolated quantile; mean is arithmetic mean
H10,MAE,THRESHOLD_COUNT,-3%,,3520,5146,0.6840264282938204,Descriptive path excursion threshold; not a trading rule
H10,MAE,THRESHOLD_COUNT,-5%,,2692,5146,0.5231247570928876,Descriptive path excursion threshold; not a trading rule
H10,MAE,THRESHOLD_COUNT,-8%,,1714,5146,0.3330742324135251,Descriptive path excursion threshold; not a trading rule
H10,MAE,THRESHOLD_COUNT,-10%,,1189,5146,0.2310532452390206,Descriptive path excursion threshold; not a trading rule
H10,MAE,THRESHOLD_COUNT,-15%,,462,5146,0.08977846871356393,Descriptive path excursion threshold; not a trading rule
