rank,feature_family,feature_family_label,feature_id,feature_definition,relative_day,relative_day_label,outcome_stratum,n_success,n_control,successful_median,control_median,absolute_median_difference,median_difference,mean_difference,standardized_mean_difference,distribution_overlap,market_stability_tpe_two,market_stability_detail,temporal_stability,outlier_dependence,outcome_strength_gradient,earliest_useful_lead_time,classification,classification_reason,human_interpretation,why_promising_not_robust,ranking_note
11,VOLATILITY_COMPRESSION,VOLATILITY_COMPRESSION,realized_vol_20,Population standard deviation of daily close returns over the fixed 20-session window.,-10,D-10,T5_GE_10,4815,4815,0.029480480823602682,0.026535056044208617,0.0029454247793940652,0.0029454247793940652,0.0024001484123988837,0.16600119456120863,0.9291796469366563,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.0975388023378136,"h5:T3=0.02316,T5=0.0252,T10=0.02948,mono=NONDECREASING; h10:T3=0.0237,T5=0.02472,T10=0.02776,mono=NONDECREASING",D-20,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,Population standard deviation of daily close returns over the fixed 20-session window. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-10; this is descriptive and is not a trading rule.,existing classification reason: bounded_effect_requires_confirmatory_research; higher distribution overlap; weaker standardized effect size; confirmatory research remained out of scope,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
12,VOLATILITY_COMPRESSION,VOLATILITY_COMPRESSION,rolling_range_pct_20,(rolling 20-session high - rolling 20-session low) / current close.,-5,D-5,T5_GE_10,4815,4815,0.21017402945113792,0.1905781584582441,0.01959587099289381,0.01959587099289381,0.021806959950440352,0.16557016219423026,0.929595015576324,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,0.8442798641510905,"h5:T3=0.162,T5=0.1747,T10=0.2102,mono=NONDECREASING; h10:T3=0.1697,T5=0.1763,T10=0.204,mono=NONDECREASING",D-20,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,(rolling 20-session high - rolling 20-session low) / current close. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-5; this is descriptive and is not a trading rule.,existing classification reason: bounded_effect_requires_confirmatory_research; higher distribution overlap; weaker standardized effect size; confirmatory research remained out of scope,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
13,TREND_STRUCTURE,TREND_STRUCTURE,ma_alignment_bearish,Boolean state Close < MA5 < MA20 < MA60; a strict bearish moving-average ordering.,-1,D-1,T10_GE_5,6083,6083,0.0,0.0,0.0,0.0,0.07249712313003454,0.16090066957133534,0.9275028768699655,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.2498459009656868,"h5:T3=0,T5=0,T10=0,mono=NONDECREASING; h10:T3=0,T5=0,T10=0,mono=NONDECREASING",D-20,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,Boolean state Close < MA5 < MA20 < MA60; a strict bearish moving-average ordering. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-1; this is descriptive and is not a trading rule.,existing classification reason: bounded_effect_requires_confirmatory_research; higher distribution overlap; weaker standardized effect size; confirmatory research remained out of scope,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
14,VOLATILITY_COMPRESSION,VOLATILITY_COMPRESSION,rolling_range_pct_20,(rolling 20-session high - rolling 20-session low) / current close.,0,D0,T10_GE_10,4727,4727,0.22348484848484845,0.20890410958904115,0.0145807388958073,0.0145807388958073,0.027508490205877006,0.16036849294866892,0.9390734080812354,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,0.7150500652607168,"h5:T3=0.1837,T5=0.1923,T10=0.2287,mono=NONDECREASING; h10:T3=0.1874,T5=0.1949,T10=0.2235,mono=NONDECREASING",D-20,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,(rolling 20-session high - rolling 20-session low) / current close. Existing discovery evidence shows the successful group had a higher mean than matched controls at D0; this is descriptive and is not a trading rule.,existing classification reason: bounded_effect_requires_confirmatory_research; higher distribution overlap; weaker standardized effect size; confirmatory research remained out of scope,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
15,VOLATILITY_COMPRESSION,VOLATILITY_COMPRESSION,realized_vol_20,Population standard deviation of daily close returns over the fixed 20-session window.,-10,D-10,T5_GE_5,6569,6569,0.025199190035893722,0.02270099758715543,0.002498192448738293,0.002498192448738293,0.002095448575095006,0.1586871498001065,0.9325620337950982,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.0312772462617341,"h5:T3=0.02316,T5=0.0252,T10=0.02948,mono=NONDECREASING; h10:T3=0.0237,T5=0.02472,T10=0.02776,mono=NONDECREASING",D-20,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,Population standard deviation of daily close returns over the fixed 20-session window. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-10; this is descriptive and is not a trading rule.,existing classification reason: bounded_effect_requires_confirmatory_research; higher distribution overlap; weaker standardized effect size; confirmatory research remained out of scope,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
16,VOLATILITY_COMPRESSION,VOLATILITY_COMPRESSION,true_range_pct,"max(high-low, abs(high-prevClose), abs(low-prevClose)) / prevClose; one-session range relative to prior close.",-10,D-10,T5_GE_10,4815,4815,0.038461538461538464,0.03354632587859427,0.004915212582944195,0.004915212582944195,0.004494471499593131,0.1576619142180908,0.9219106957424714,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.1479275431182427,"h5:T3=0.03048,T5=0.03257,T10=0.03846,mono=NONDECREASING; h10:T3=0.032,T5=0.03295,T10=0.03691,mono=NONDECREASING",D-20,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,"max(high-low, abs(high-prevClose), abs(low-prevClose)) / prevClose; one-session range relative to prior close. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-10; this is descriptive and is not a trading rule.",existing classification reason: bounded_effect_requires_confirmatory_research; higher distribution overlap; weaker standardized effect size; confirmatory research remained out of scope,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
17,VOLATILITY_COMPRESSION,VOLATILITY_COMPRESSION,realized_vol_20,Population standard deviation of daily close returns over the fixed 20-session window.,-20,D-20,T5_GE_5,6569,6569,0.025126082007533707,0.02252590862789098,0.0026001733796427277,0.0026001733796427277,0.002164389388440751,0.15731060188638726,0.9278428984624753,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.081959396671248,"h5:T3=0.02358,T5=0.02513,T10=0.02879,mono=NONDECREASING; h10:T3=0.02399,T5=0.02488,T10=0.02725,mono=NONDECREASING",D-20,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,Population standard deviation of daily close returns over the fixed 20-session window. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-20; this is descriptive and is not a trading rule.,existing classification reason: bounded_effect_requires_confirmatory_research; higher distribution overlap; weaker standardized effect size; confirmatory research remained out of scope,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
18,VOLATILITY_COMPRESSION,VOLATILITY_COMPRESSION,rolling_range_pct_5,(rolling five-session high - rolling five-session low) / current close.,-10,D-10,T5_GE_10,4815,4815,0.09716599190283401,0.08627450980392157,0.010891482098912442,0.010891482098912442,0.010131657483179318,0.15519250945335247,0.9196261682242992,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.0761103359318975,"h5:T3=0.07613,T5=0.08145,T10=0.09717,mono=NONDECREASING; h10:T3=0.07779,T5=0.08137,T10=0.0927,mono=NONDECREASING",D-20,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,(rolling five-session high - rolling five-session low) / current close. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-10; this is descriptive and is not a trading rule.,existing classification reason: bounded_effect_requires_confirmatory_research; higher distribution overlap; weaker standardized effect size; confirmatory research remained out of scope,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
19,VOLATILITY_COMPRESSION,VOLATILITY_COMPRESSION,rolling_range_pct_20,(rolling 20-session high - rolling 20-session low) / current close.,-20,D-20,T5_GE_10,4815,4815,0.19999999999999987,0.1790780141843972,0.020921985815602673,0.020921985815602673,0.01795361928252981,0.15135943031187563,0.9343717549325027,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.0757881395225741,"h5:T3=0.166,T5=0.1759,T10=0.2,mono=NONDECREASING; h10:T3=0.1705,T5=0.1755,T10=0.1908,mono=NONDECREASING",D-20,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,(rolling 20-session high - rolling 20-session low) / current close. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-20; this is descriptive and is not a trading rule.,existing classification reason: bounded_effect_requires_confirmatory_research; higher distribution overlap; weaker standardized effect size; confirmatory research remained out of scope,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
20,VOLATILITY_COMPRESSION,VOLATILITY_COMPRESSION,rolling_range_pct_20,(rolling 20-session high - rolling 20-session low) / current close.,-10,D-10,T5_GE_5,6569,6569,0.17597292724196287,0.16039603960396043,0.01557688763800244,0.01557688763800244,0.01636873990257301,0.15122407349814607,0.9328664941391382,1.0,TPE/TWO pooled direction-consistency value from existing artifact; per-market breakdown is NOT_AVAILABLE_FROM_EXISTING_ARTIFACTS,1.0,1.0275145452704804,"h5:T3=0.1655,T5=0.176,T10=0.204,mono=NONDECREASING; h10:T3=0.1686,T5=0.1753,T10=0.1928,mono=NONDECREASING",D-20,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,(rolling 20-session high - rolling 20-session low) / current close. Existing discovery evidence shows the successful group had a higher mean than matched controls at D-10; this is descriptive and is not a trading rule.,existing classification reason: bounded_effect_requires_confirmatory_research; higher distribution overlap; weaker standardized effect size; confirmatory research remained out of scope,"Explicit rank was not persisted in the source artifact. This stable ordering reconstructs a review order from existing classification, absolute standardized mean difference, sample count, overlap, relative day, and source-key tie-breakers; no new search, fit, threshold, or feature was executed."
